,Perfil,ID_Func,Idade,Atrito,Departamento,Grau Instrução,Especialidade,Satisfação Ambiente,Gênero,Envolvimento,Cargo,Satisfação Trabalho,Estado Civil,Renda,Relacionamento,Balanço Vida-Profissão,Análise Ambiente,Análise Envolvimento,Análise Trabalho,Análise Relacionamento,Análise Balanço Vida-Profissão
0,Perfil 1,0,41,Sim,Vendas,Faculdade,Biologia,Média,Feminino,Alto,Executivo_Vendas,Muito Alta,Solteiro,5993,Baixo,Baixa,Colaborador com alguma insatisfação com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Colaborador com algum problema de relacionamento,Colaborador apresenta algum desequilibrio entre vida pessoal  profissional
1,Perfil 6,1,49,Não,P & D,Ensino_Mèdio,Biologia,Alta,Masculino,Médio,Pesquisa_Cientifica,Média,Casado,5130,Muito Alto,Alta,Satisfeito com o ambiente,Colaborador com algum problema de envolvimento,Colaborador com alguma insatisfação no trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
2,Perfil 4,2,37,Sim,P & D,Faculdade,Outros,Muito Alta,Masculino,Médio,Tecnico_Lab,Alta,Solteiro,2090,Médio,Alta,Satisfeito com o ambiente,Colaborador com algum problema de envolvimento,Satisfeito com o trabalho,Colaborador com algum problema de relacionamento,Vida pessoal e profissional bem equilibrada
3,Perfil 2,3,33,Não,P & D,Mestrado,Biologia,Muito Alta,Feminino,Alto,Pesquisa_Cientifica,Alta,Casado,2909,Alto,Alta,Satisfeito com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
4,Perfil 3,4,27,Não,P & D,Ensino_Mèdio,Médico,Baixa,Masculino,Alto,Tecnico_Lab,Média,Casado,3468,Muito Alto,Alta,Colaborador com alguma insatisfação com o ambiente,Bom envolvimento,Colaborador com alguma insatisfação no trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
5,Perfil 1,5,32,Não,P & D,Faculdade,Biologia,Muito Alta,Masculino,Alto,Tecnico_Lab,Muito Alta,Solteiro,3068,Alto,Média,Satisfeito com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Bom relacionamento,Colaborador apresenta algum desequilibrio entre vida pessoal  profissional
6,Perfil 4,6,59,Não,P & D,Pos_Graduado,Médico,Alta,Feminino,Muito Alto,Tecnico_Lab,Baixa,Casado,2670,Baixo,Média,Satisfeito com o ambiente,Bom envolvimento,Colaborador com alguma insatisfação no trabalho,Colaborador com algum problema de relacionamento,Colaborador apresenta algum desequilibrio entre vida pessoal  profissional
7,Perfil 4,7,30,Não,P & D,Ensino_Mèdio,Biologia,Muito Alta,Masculino,Alto,Tecnico_Lab,Alta,Divorciado,2693,Médio,Alta,Satisfeito com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Colaborador com algum problema de relacionamento,Vida pessoal e profissional bem equilibrada
8,Perfil 4,8,38,Não,P & D,Pos_Graduado,Biologia,Muito Alta,Masculino,Médio,Diretor_Manufatura,Alta,Solteiro,9526,Médio,Alta,Satisfeito com o ambiente,Colaborador com algum problema de envolvimento,Satisfeito com o trabalho,Colaborador com algum problema de relacionamento,Vida pessoal e profissional bem equilibrada
9,Perfil 1,9,36,Não,P & D,Pos_Graduado,Médico,Alta,Masculino,Alto,Repres_Saúde,Alta,Casado,5237,Médio,Média,Satisfeito com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Colaborador com algum problema de relacionamento,Colaborador apresenta algum desequilibrio entre vida pessoal  profissional
10,Perfil 3,10,35,Não,P & D,Pos_Graduado,Médico,Baixa,Masculino,Muito Alto,Tecnico_Lab,Média,Casado,2426,Alto,Alta,Colaborador com alguma insatisfação com o ambiente,Bom envolvimento,Colaborador com alguma insatisfação no trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
11,Perfil 2,11,29,Não,P & D,Faculdade,Biologia,Muito Alta,Feminino,Médio,Tecnico_Lab,Alta,Solteiro,4193,Muito Alto,Alta,Satisfeito com o ambiente,Colaborador com algum problema de envolvimento,Satisfeito com o trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
12,Perfil 3,12,31,Não,P & D,Ensino_Mèdio,Biologia,Baixa,Masculino,Alto,Pesquisa_Cientifica,Alta,Divorciado,2911,Muito Alto,Média,Colaborador com alguma insatisfação com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Bom relacionamento,Colaborador apresenta algum desequilibrio entre vida pessoal  profissional
13,Perfil 2,13,34,Não,P & D,Faculdade,Médico,Média,Masculino,Alto,Tecnico_Lab,Muito Alta,Divorciado,2661,Alto,Alta,Colaborador com alguma insatisfação com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
14,Perfil 5,14,28,Sim,P & D,Pos_Graduado,Biologia,Alta,Masculino,Médio,Tecnico_Lab,Alta,Solteiro,2028,Médio,Alta,Satisfeito com o ambiente,Colaborador com algum problema de envolvimento,Satisfeito com o trabalho,Colaborador com algum problema de relacionamento,Vida pessoal e profissional bem equilibrada
15,Perfil 3,15,29,Não,P & D,Mestrado,Biologia,Média,Feminino,Muito Alto,Diretor_Manufatura,Baixa,Divorciado,9980,Alto,Alta,Colaborador com alguma insatisfação com o ambiente,Bom envolvimento,Colaborador com alguma insatisfação no trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
16,Perfil 3,16,32,Não,P & D,Faculdade,Biologia,Baixa,Masculino,Muito Alto,Pesquisa_Cientifica,Média,Divorciado,3298,Muito Alto,Média,Colaborador com alguma insatisfação com o ambiente,Bom envolvimento,Colaborador com alguma insatisfação no trabalho,Bom relacionamento,Colaborador apresenta algum desequilibrio entre vida pessoal  profissional
17,Perfil 1,17,22,Não,P & D,Faculdade,Médico,Muito Alta,Masculino,Muito Alto,Tecnico_Lab,Muito Alta,Divorciado,2935,Médio,Média,Satisfeito com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Colaborador com algum problema de relacionamento,Colaborador apresenta algum desequilibrio entre vida pessoal  profissional
18,Perfil 5,18,53,Não,Vendas,Mestrado,Biologia,Baixa,Feminino,Médio,Gerente,Muito Alta,Casado,15427,Alto,Alta,Colaborador com alguma insatisfação com o ambiente,Colaborador com algum problema de envolvimento,Satisfeito com o trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
19,Perfil 2,19,38,Não,P & D,Pos_Graduado,Biologia,Muito Alta,Masculino,Alto,Pesquisa_Cientifica,Muito Alta,Solteiro,3944,Alto,Alta,Satisfeito com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
20,Perfil 3,20,24,Não,P & D,Faculdade,Outros,Baixa,Feminino,Muito Alto,Diretor_Manufatura,Alta,Divorciado,4011,Muito Alto,Média,Colaborador com alguma insatisfação com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Bom relacionamento,Colaborador apresenta algum desequilibrio entre vida pessoal  profissional
21,Perfil 6,21,36,Sim,Vendas,Mestrado,Biologia,Alta,Masculino,Médio,Repres_Vendas,Baixa,Solteiro,3407,Médio,Alta,Satisfeito com o ambiente,Colaborador com algum problema de envolvimento,Colaborador com alguma insatisfação no trabalho,Colaborador com algum problema de relacionamento,Vida pessoal e profissional bem equilibrada
