,ID_Func,Perfil,Idade,Atrito,Departamento,Grau Instrução,Especialidade,Satisfação Ambiente,Gênero,Envolvimento,Cargo,Satisfação Trabalho,Estado Civil,Renda,Relacionamento,Balanço Vida-Profissão,Análise para RH
0,0,Perfil 2,41,Sim,Vendas,Faculdade,Biologia,Média,Feminino,Alto,Executivo_Vendas,Muito Alta,Solteiro,5993,Baixo,Baixa,Colaboradores insatisfeitos com o ambiente e baixo relacionamento
1,1,Perfil 1,49,Não,P & D,Ensino_Mèdio,Biologia,Alta,Masculino,Médio,Pesquisa_Cientifica,Média,Casado,5130,Muito Alto,Alta,Colaboradores com baixa satisfação com o trabalho
2,2,Perfil 3,37,Sim,P & D,Faculdade,Outros,Muito Alta,Masculino,Médio,Tecnico_Lab,Alta,Solteiro,2090,Médio,Alta,Colaboradores muito bem comprometidos com a empresa
3,3,Perfil 3,33,Não,P & D,Mestrado,Biologia,Muito Alta,Feminino,Alto,Pesquisa_Cientifica,Alta,Casado,2909,Alto,Alta,Colaboradores muito bem comprometidos com a empresa
4,4,Perfil 1,27,Não,P & D,Ensino_Mèdio,Médico,Baixa,Masculino,Alto,Tecnico_Lab,Média,Casado,3468,Muito Alto,Alta,Colaboradores com baixa satisfação com o trabalho
5,5,Perfil 3,32,Não,P & D,Faculdade,Biologia,Muito Alta,Masculino,Alto,Tecnico_Lab,Muito Alta,Solteiro,3068,Alto,Média,Colaboradores muito bem comprometidos com a empresa
6,6,Perfil 1,59,Não,P & D,Pos_Graduado,Médico,Alta,Feminino,Muito Alto,Tecnico_Lab,Baixa,Casado,2670,Baixo,Média,Colaboradores com baixa satisfação com o trabalho
7,7,Perfil 3,30,Não,P & D,Ensino_Mèdio,Biologia,Muito Alta,Masculino,Alto,Tecnico_Lab,Alta,Divorciado,2693,Médio,Alta,Colaboradores muito bem comprometidos com a empresa
8,8,Perfil 3,38,Não,P & D,Pos_Graduado,Biologia,Muito Alta,Masculino,Médio,Diretor_Manufatura,Alta,Solteiro,9526,Médio,Alta,Colaboradores muito bem comprometidos com a empresa
9,9,Perfil 2,36,Não,P & D,Pos_Graduado,Médico,Alta,Masculino,Alto,Repres_Saúde,Alta,Casado,5237,Médio,Média,Colaboradores insatisfeitos com o ambiente e baixo relacionamento
10,10,Perfil 1,35,Não,P & D,Pos_Graduado,Médico,Baixa,Masculino,Muito Alto,Tecnico_Lab,Média,Casado,2426,Alto,Alta,Colaboradores com baixa satisfação com o trabalho
11,11,Perfil 3,29,Não,P & D,Faculdade,Biologia,Muito Alta,Feminino,Médio,Tecnico_Lab,Alta,Solteiro,4193,Muito Alto,Alta,Colaboradores muito bem comprometidos com a empresa
12,12,Perfil 2,31,Não,P & D,Ensino_Mèdio,Biologia,Baixa,Masculino,Alto,Pesquisa_Cientifica,Alta,Divorciado,2911,Muito Alto,Média,Colaboradores insatisfeitos com o ambiente e baixo relacionamento
